UF,Município,Latitude,Longitude,"2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","Total"
MA,SÃO PEDRO DA ÁGUA BRANCA,-5.0889109974074,-48.4236235936456,0,0,12,18,0,0,0,0,0,0,30
MA,SÃO RAIMUNDO DAS MANGABEIRAS,-7.02696265716847,-45.4848314302202,0,0,103,0,0,0,0,0,0,0,103
MA,SÃO RAIMUNDO DO DOCA BEZERRA,-5.10318184489716,-45.0841627902782,0,0,0,0,0,19,0,0,0,0,19
MA,SENADOR LA ROQUE,-5.44183249517838,-47.2891914239821,20,13,0,0,0,0,0,0,0,0,33
MA,TURIAÇU,-1.66902204768173,-45.369152417224,0,0,0,0,0,0,0,0,0,1,1
MA,VILA NOVA DOS MARTÍRIOS,-5.18351151920427,-48.1389264826009,0,8,4,0,0,0,0,0,0,0,12
MG,ARAGUARI,-18.6482695268138,-48.1916053790291,0,0,0,0,0,0,0,13,0,0,13
MG,BONFINÓPOLIS DE MINAS,-16.5707647860756,-45.988340657155,0,2,0,0,0,0,0,0,4,0,6
MG,BURITIS,-15.626505489997,-46.424040801173,0,0,0,0,0,0,0,0,9,88,97
MG,BURITIZEIRO,-17.3594207725781,-44.9551936818751,0,0,0,36,16,0,0,0,0,0,52
MG,CAMBUÍ,-22.6110971633732,-46.0580193633378,0,0,0,0,0,0,0,39,0,0,39
MG,CAMPOS ALTOS,-19.6988958417622,-46.1737099168342,0,0,0,25,0,0,0,0,0,0,25
MG,CAMPOS GERAIS,-21.238697907437,-45.7569073652197,0,0,0,0,0,0,0,0,27,0,27
MG,CAPINÓPOLIS,-18.6822937337555,-49.5744822393992,0,0,0,0,0,0,0,207,0,0,207
MG,CARMO DO RIO CLARO,-20.9729965301287,-46.1219647340896,0,0,0,0,0,27,0,0,0,0,27
MG,CÁSSIA,-20.5828560244395,-46.9240358606419,0,0,0,0,0,0,0,0,20,0,20
MG,CLÁUDIO,-20.4445746550273,-44.7684225278901,0,0,0,0,0,0,80,0,0,0,80
MG,CÓRREGO DANTAS,-19.826410021936,-45.8984710283885,0,0,0,7,0,0,0,0,0,0,7
MG,CURVELO,-18.7554807216306,-44.4283989683234,0,0,0,0,0,0,46,0,0,0,46
MG,DIAMANTINA,-18.242092724164,-43.5944568221762,0,0,0,0,0,0,0,0,40,0,40
MG,DIVINÓPOLIS,-20.1420739745819,-44.8938855338722,0,0,0,0,0,0,0,0,56,0,56
MG,ESTIVA,-22.4630450603542,-46.0163518065517,0,0,0,0,0,0,0,46,0,0,46
MG,GUARANÉSIA,-21.3055603706599,-46.7954912202958,0,0,0,0,0,33,0,0,0,0,33
MG,ITURAMA,-19.7319475242371,-50.2019735753731,0,0,0,0,374,0,0,0,0,0,374
MG,JEQUITINHONHA,-16.4417689423789,-41.0071154423797,0,0,0,0,0,11,0,0,0,0,11
MG,JOÃO PINHEIRO,-17.7418529395633,-46.1754635512704,0,0,0,0,0,0,0,7,19,0,26
MG,JUIZ DE FORA,-21.7609243086743,-43.3488172724746,0,0,0,0,0,0,0,0,16,0,16
MG,JUVELÍNEA,-14.263594562885,-44.1595897099681,0,0,0,0,11,0,0,0,0,0,11
MG,LIMEIRA DO OESTE,-19.5477771592958,-50.575290374188,0,0,0,0,0,0,99,0,0,0,99
MG,MACHADO,-21.6783538964701,-45.9217640832215,0,0,0,0,0,16,0,0,0,0,16
MG,MATIAS CARDOSO,-14.8502838776958,-43.9178264365665,0,0,0,0,0,0,0,0,0,18,18
MG,NOVA BELÉM,-18.4940908207837,-41.1036878323569,0,0,0,0,0,0,0,4,0,0,4
MG,OLIVEIRA,-20.6975157761843,-44.8264108664819,0,0,0,4,0,0,0,0,42,0,46
MG,PARACATU,-17.219741910187,-46.8754188909564,0,9,0,0,0,1,170,5,15,0,200
MG,PARAGUAÇU,-21.5473160267617,-45.7326954707608,0,0,0,0,0,0,0,17,0,0,17
MG,PATOS DE MINAS,-18.5925708199233,-46.5159156766059,0,0,0,0,0,0,0,39,0,0,39
MG,PATROCÍNIO,-18.9408129613496,-46.9974382401645,0,0,0,0,0,58,11,0,0,0,69
MG,PEDRA AZUL,-16.0059227890655,-41.2817519782488,0,0,0,0,0,18,0,0,0,0,18
MG,PINTÓPOLIS,-16.0549897298845,-45.1495068805966,0,0,0,0,0,0,0,0,17,0,17
MG,POCRANE,-19.6201444044024,-41.6290012532567,0,0,0,0,0,0,1,0,0,0,1
MG,SANTA FÉ DE MINAS,-16.6873734528008,-45.4136331221547,0,8,0,0,0,0,0,0,0,35,43
MG,SÃO GOTARDO,-19.3127001913321,-46.0531440401029,0,0,0,0,0,0,14,0,0,0,14
MG,SÃO JOÃO DO MANHUAÇU,-20.3954998659809,-42.1521577505493,0,0,0,0,22,0,0,0,0,0,22
MG,SÃO ROMÃO,-16.3686392158312,-45.0691351971251,0,0,0,0,0,0,0,0,8,0,8
MG,SÃO ROQUE DE MINAS,-20.2506708115156,-46.3689949346399,0,0,0,15,0,49,0,0,0,0,64
MG,SÃO SEBASTIÃO DO PARAÍSO,-20.9180654486469,-46.986471825605,0,0,0,0,0,8,0,0,0,0,8
MG,SIMONÉSIA,-20.1220295973937,-42.0038567486968,0,0,0,0,0,0,0,0,11,0,11
MG,TRÊS PONTAS,-21.3687699216518,-45.515474797041,0,0,0,0,0,7,0,0,0,0,7
MG,UNAÍ,-16.3590084924977,-46.8999565952849,0,0,0,0,2,0,0,132,4,0,138
MG,UNIÃO DE MINAS,-19.5297366441284,-50.3308029413544,0,0,0,0,0,0,0,0,0,31,31
MG,VARGINHA,-21.5570800390633,-45.4318861442785,0,0,0,0,0,1,0,0,0,0,1
MS,ÁGUA CLARA,-20.4488507623245,-52.8751175514538,0,0,0,0,6,0,0,0,0,0,6
MS,ALCINÓPOLIS,-18.3250339793627,-53.7080896262812,0,0,0,0,17,0,0,0,0,0,17
MS,AMAMBAI,-23.1005822383763,-55.2438276926236,0,0,0,0,18,0,0,0,0,0,18
MS,AQUIDAUANA,-20.4746543469162,-55.7906160902267,0,0,0,0,33,0,0,0,0,0,33
MS,BANDEIRANTES DO TOCANTINS,-19.9209203030945,-54.363193894284,0,0,0,0,9,0,0,0,0,1,10
MS,BONITO,-21.1243412844495,-56.492858618573,0,0,8,0,0,4,0,0,0,0,12
MS,BRASILÂNDIA,-21.2471181439629,-52.0362967948521,0,0,0,0,1011,0,0,0,0,0,1011
MS,CAMAPUÃ,-19.5352597987482,-54.043309486428,0,0,1,0,12,6,0,0,0,9,28
MS,CAMPO GRANDE,-20.4580299878639,-54.6157435664588,0,0,0,21,0,11,8,0,0,0,40
MS,CARACOL,-22.0127382891947,-57.0259387643523,0,0,10,0,0,0,0,0,0,0,10
MS,CASSILÂNDIA,-19.1094073707569,-51.7315768884039,0,0,0,0,0,0,0,0,0,9,9
MS,CHAPADÃO DO SUL,-18.7977731220362,-52.6263557069986,0,0,7,0,0,0,14,0,0,0,21
MS,CORGUINHO,-19.8312180172351,-54.8300060009778,0,0,0,0,0,13,0,0,0,0,13
MS,CORUMBÁ,-19.0063746546458,-57.6489854573401,0,0,0,0,0,0,0,0,0,10,10
MS,COSTA RICA,-18.5435483884105,-53.1330469048741,0,0,0,0,0,10,0,0,0,0,10
MS,COXIM,-18.5084105386466,-54.7580559501932,0,0,0,0,0,7,0,8,0,0,15
MS,DOIS IRMÃOS DO BURITI,-20.6923120582393,-55.2819144863289,0,0,0,0,0,6,0,0,0,0,6
MS,DOURADOS,-22.2272355368988,-54.8112891228926,0,0,0,0,20,11,0,0,7,0,38
MS,FIGUEIRÃO,-18.6754480707675,-53.6425733238917,0,0,0,0,9,0,0,0,0,0,9
MS,IGUATEMI,-23.6619015645077,-54.5586010866498,0,0,0,0,498,126,0,0,0,0,624
MS,NAVIRAÍ,-23.0599994824999,-54.198836170118,0,0,0,0,0,0,0,0,368,0,368
MS,PEDRO GOMES,-18.1018562342506,-54.552445829166,0,0,0,0,0,15,0,0,0,0,15
MS,PONTA PORÃ,-22.4861870787602,-55.7108501778637,0,0,0,0,0,0,0,0,0,5,5
MS,PORTO MURTINHO,-21.707324558832,-57.8884823022607,0,0,0,19,1,10,0,0,0,0,30
MS,RIO VERDE,-18.9165864402561,-54.8422536901124,0,0,0,0,0,0,0,0,4,0,4
MS,SÃO GABRIEL D'OESTE,-19.3955213701578,-54.56456909376,0,0,0,0,0,17,0,0,0,0,17
MS,SELVÍRIA,-20.3667425853307,-51.4189369057613,0,0,0,0,12,0,0,0,0,0,12
MS,TRÊS LAGOAS,-20.7886791613914,-51.7100006287942,29,0,0,0,0,0,0,0,0,0,29
MT,ALTA FLORESTA,-9.87172259661951,-56.0916104404737,0,0,3,0,0,12,0,0,0,0,15
MT,APIACÁS,-9.56549516872457,-57.3954022412255,0,0,0,0,0,0,0,15,0,0,15
MT,ARAPUTANGA,-15.4681442696684,-58.3483671518682,0,0,0,0,0,0,6,0,0,0,6
MT,BOM JESUS DO ARAGUAIA,-12.1735983436531,-51.5036392318627,15,0,0,0,0,0,7,0,0,0,22
MT,BRASNORTE,-12.1249381398803,-58.0026736277871,0,24,0,0,47,0,14,0,4,0,89
MT,CÁCERES,-16.0740956303636,-57.674762307218,0,0,0,0,0,0,5,0,0,3,8
MT,CAMPO NOVO DOS PARECIS,-13.6547331732023,-57.8885464788371,0,27,0,0,0,0,0,0,0,0,27
MT,CAMPOS DE JÚLIO,-13.7199230456404,-59.2634085205862,0,0,35,249,0,0,0,0,0,0,284
MT,CANARANA,-13.559229509583,-52.2734568634775,8,0,0,0,0,0,0,0,0,0,8
MT,CASTANHEIRA,-11.1341078575921,-58.613409263696,0,0,0,0,0,0,0,0,0,12,12
MT,CHAPADA DOS GUIMARÃES,-15.4605696789084,-55.745004517892,0,0,0,0,0,0,0,0,11,0,11
MT,CLÁUDIA,-11.5053107376486,-54.8741824477687,0,18,0,0,0,0,0,0,0,0,18
MT,COMODORO,-13.6605599169828,-59.790430994422,0,0,0,0,0,6,0,0,0,0,6
MT,CONFRESA,-10.6407305770376,-51.5710336178614,272,0,1013,0,0,7,55,0,0,0,1347
MT,COTRIGUAÇU,-9.88625387152961,-58.6068949710817,0,0,0,0,0,0,0,6,0,0,6
MT,CUIABÁ,-15.5699890131206,-56.0732520381911,0,0,0,0,0,0,0,0,2,0,2
MT,DIAMANTINO,-14.4013229621649,-56.4335660815119,0,0,0,0,1,0,0,0,0,0,1
MT,FELIZ NATAL,-12.383247028174,-54.9339040664254,0,0,0,0,15,20,0,0,0,8,43
MT,IPIRANGA DO NORTE,-12.2368420001758,-56.1597931355503,0,0,0,0,0,6,0,0,0,0,6
MT,JAURU,-15.3418963815145,-58.879838397363,0,0,0,0,0,102,0,0,0,0,102
MT,JUARA,-11.2503599784852,-57.5131232183311,0,3,0,21,4,61,0,7,5,0,101
MT,LUCAS DO RIO VERDE,-13.0704649508999,-55.9217707091116,0,0,0,0,0,0,6,0,0,0,6
MT,MARCELÂNDIA,-11.0805914112816,-54.5193062321905,0,0,0,0,5,9,0,0,0,0,14
MT,NORTELÂNDIA,-14.4537245567653,-56.8020689751515,0,0,0,0,0,35,0,0,0,0,35
MT,NOVA BANDEIRANTES,-9.84295282030581,-57.818475798533,0,0,16,0,0,0,0,11,0,7,34
MT,NOVA CANAÃ DO NORTE,-10.6311042290192,-55.7148773060437,0,0,0,0,0,11,11,8,0,0,30
MT,NOVA LACERDA,-14.4697889940042,-59.5903305027945,0,0,0,0,0,0,3,0,0,0,3
MT,NOVA MONTE VERDE,-9.97261692693498,-57.4723693069132,0,0,0,0,0,28,21,0,0,9,58
MT,NOVA MUTUM,-13.832725692724,-56.1100052480977,0,0,0,0,0,24,2,0,0,0,26
MT,NOVA OLÍMPIA,-14.7794142418652,-57.2829239619583,0,0,0,0,0,67,0,0,0,0,67
MT,NOVA UBIRATÃ,-13.0338277159555,-55.2732133189839,14,13,15,0,0,0,4,4,0,0,50
MT,NOVO MUNDO,-9.97710919449312,-55.1720189315524,136,0,0,0,0,0,0,6,0,0,142
MT,PARANAÍTA,-9.66965549852605,-56.4788997201888,0,0,0,0,0,9,10,6,0,0,25
MT,PARANATINGA,-14.4276984800988,-54.0540919919065,0,0,0,46,0,0,0,0,0,0,46
